Quality,Angle,Distance,Time
20,9.75,3552.25,2.089865
22,11.671875,3587.75,2.089923
19,13.5625,3607.25,2.089984
17,15.46875,3643.25,2.090044
9,17.359375,3627,2.090103
9,19.3125,3322,2.090163
12,21.25,3060.25,2.090221
12,23.203125,2830.75,2.09028
14,25.109375,2646.75,2.09034
15,27.046875,2484.25,2.090399
17,28.984375,2342.25,2.090459
16,30.890625,2214.75,2.090519
18,32.828125,2101.75,2.09058
18,34.859375,2010.5,2.090643
18,36.796875,1922.25,2.090703
22,38.6875,1844.5,2.090764
20,40.6875,1779,2.090823
22,42.5625,1720.5,2.090881
23,44.546875,1671.75,2.09094
25,46.453125,1613.75,2.091
21,48.390625,1566.75,2.09106
23,50.328125,1528.25,2.091119
28,52.21875,1490,2.091178
24,54.1875,1457.5,2.091238
26,56.09375,1424.5,2.091297
30,58,1396.5,2.091357
25,59.90625,1373,2.091415
26,61.828125,1345.75,2.091475
28,63.78125,1325.25,2.091535
28,65.71875,1308,2.091595
28,67.640625,1291.25,2.091654
24,69.5625,1275.25,2.091714
29,71.4375,1261.5,2.091774
29,73.390625,1248,2.091834
29,75.1875,1240.75,2.091893
30,77.15625,1229,2.091952
30,79.0625,1224,2.092011
31,80.984375,1218.25,2.09207
32,82.859375,1213,2.09213
32,84.859375,1209,2.09219
32,86.78125,1210.75,2.092248
32,88.75,1211,2.092308
32,90.609375,1211.75,2.092366
32,92.515625,1213.25,2.092426
32,94.46875,1216.75,2.092485
11,96.59375,960.5,2.092545
10,99.015625,768.25,2.092604
10,101.21875,642.5,2.092664
