Time,PosX,PosY,PosA,"PosCov[0,0]","PosCov[0,1]","PosCov[0,2]","PosCov[1,0]","PosCov[1,1]","PosCov[1,2]","PosCov[2,0]","PosCov[2,1]","PosCov[2,2]"
13.5,1214.113635,141.9985935,1.53365529,0.063819342,0.904861477,-3.22E-05,0.904861477,24.21314044,-0.000970123,-3.22E-05,-0.000970123,0.001742345
14,1213.986459,138.5971422,1.532221326,0.071071138,1.081137424,-5.51E-05,1.081137424,28.0380464,-0.001587557,-5.51E-05,-0.001587557,0.001753367
15,1214.221353,145.6872157,1.534327685,0.084863953,1.553304798,2.32E-06,1.553304798,42.5703583,-0.000159678,2.32E-06,-0.000159678,0.003707322
16,1214.346763,146.3863402,1.53480021,0.095760675,1.968757205,3.94E-06,1.968757205,54.66314028,1.75E-05,3.94E-06,1.75E-05,0.004841257
17,1214.368466,144.9534648,1.533820488,0.063337055,1.08585885,2.53E-06,1.08585885,29.41496094,-0.000114963,2.53E-06,-0.000114963,0.002606096
18,1214.427318,146.3610971,1.524551375,0.138759682,2.858354315,-0.005120502,2.858354315,73.35370838,0.000102455,-0.005120502,0.000102455,0.006526028
19,1220.704516,238.194743,1.509413261,0.30422906,0.714615576,-0.002736974,0.714615576,12.93083885,0.000411642,-0.002736974,0.000411642,0.00081304
20,1229.521074,373.7622232,1.460685198,0.400912509,1.360675361,-0.003143724,1.360675361,14.90698803,0.0003009,-0.003143724,0.0003009,0.000763483
21,1242.860993,538.0781136,1.488963898,1.369539685,3.294909905,-0.045708414,3.294909905,38.7512784,0.00344319,-0.045708414,0.00344319,0.003282608
22,1246.702562,661.4879593,1.512431473,1.815312932,0.795577728,-0.009939839,0.795577728,14.55322536,0.000614127,-0.009939839,0.000614127,0.000835861
23,1247.151584,822.6906864,1.526235998,2.343605038,1.432753218,-0.063252153,1.432753218,30.91377512,0.002578086,-0.063252153,0.002578086,0.002574027
24,1248.407992,958.1641818,1.539691679,0.341329826,0.487705199,-0.012936655,0.487705199,14.58960107,0.000280302,-0.012936655,0.000280302,0.00114702
25,1248.939316,1104.854347,1.588139168,81.62269897,1.446326571,-0.898371642,1.446326571,130.9967099,-0.000327484,-0.898371642,-0.000327484,0.011636065
26,1222.91649,1164.067458,1.436348368,0.275991659,0.683048549,-0.000205021,0.683048549,5.912442145,-1.76E-05,-0.000205021,-1.76E-05,0.000472332
27,1226.674349,1172.559688,1.098032163,1.823498516,3.528822638,-0.000258202,3.528822638,8.678818766,-0.000246761,-0.000258202,-0.000246761,0.000598619
28,1224.167386,1167.46786,0.867138687,34.55976286,47.53759751,-0.000332054,47.53759751,67.61544985,-0.000653424,-0.000332054,-0.000653424,0.00815351
29,1211.135205,1151.546084,0.59159648,8.443815204,9.154100079,0.007122262,9.154100079,12.13774613,0.008561779,0.007122262,0.008561779,3.04E-05
30,1211.105517,1151.556104,0.461814434,78.90471649,50.95000971,0.008079322,50.95000971,37.0520897,0.006655481,0.008079322,0.006655481,0.008599359
31,1208.018802,1172.194217,0.355749069,1.954099089,0.350369149,0.000659016,0.350369149,1.018910514,-0.000151744,0.000659016,-0.000151744,1.44E-05
32,1190.83438,1177.924476,0.267930989,12.60328187,3.532228405,4.38E-05,3.532228405,1.302387341,-1.28E-05,4.38E-05,-1.28E-05,0.001168796
33,1196.441438,1183.166074,0.213016388,27.58004005,6.068983613,0.000162329,6.068983613,1.490303862,-0.000248729,0.000162329,-0.000248729,0.002549927
34,1193.862646,1185.892583,0.22337997,29.57596709,5.861164054,-0.000158031,5.861164054,1.258175951,0.000340001,-0.000158031,0.000340001,0.002740482
35,1202.39916,1188.969717,0.423679954,89.70323165,31.48943069,-0.001942146,31.48943069,11.37082611,0.002261349,-0.001942146,0.002261349,0.00896524
36,1178.035584,1180.241914,0.634364509,23.09972914,11.73625023,-0.001353812,11.73625023,6.978750651,-0.000468934,-0.001353812,-0.000468934,0.001276246
37,1181.251921,1182.78087,0.942195809,17.90221939,20.63536103,-0.002056291,20.63536103,26.42586562,-0.00034437,-0.002056291,-0.00034437,0.003249063
38,1187.007418,1187.160596,1.120283749,9.976917396,13.68111236,-0.001046328,13.68111236,23.32700624,-0.001323126,-0.001046328,-0.001323126,0.001163297
39,1197.760787,1166.374178,1.467451801,1.583772536,0.698540715,0.000209291,0.698540715,4.732030824,0.000257924,0.000209291,0.000257924,0.000116354
40,1212.219128,1159.438018,1.720010662,0.803808689,-1.208985649,-4.81E-05,-1.208985649,11.79075735,-0.000108881,-4.81E-05,-0.000108881,0.000833579
41,1218.150062,1160.425913,1.993932973,1.11092373,-2.144109962,0.00043128,-2.144109962,9.554127384,-0.001507383,0.00043128,-0.001507383,0.000127222
42,1222.338954,1154.759297,2.205478883,26.84844109,-43.27898444,0.000508192,-43.27898444,74.14238805,-0.000854718,0.000508192,-0.000854718,0.008422666
43,1236.707252,1140.956385,2.456487089,7.998111739,-7.736318337,0.000991781,-7.736318337,11.01615189,-0.001018117,0.000991781,-0.001018117,0.000718839
44,1259.740392,1168.382406,2.761250199,2.48560977,-0.87637936,0.000344189,-0.87637936,0.938681114,-5.67E-06,0.000344189,-5.67E-06,0.000180909
45,1264.948542,1168.976617,3.040566233,146.9054891,-29.9158164,-0.000959434,-29.9158164,6.935110314,-0.000578633,-0.000959434,-0.000578633,0.013619231
46,1296.669239,1163.053757,3.225110943,47.67069875,-5.121233666,0.003482567,-5.121233666,1.915532919,-0.000884492,0.003482567,-0.000884492,0.002009246
47,1272.852001,1176.988385,3.535974637,8.918493395,2.757959357,-0.000115128,2.757959357,2.280070771,-0.000165893,-0.000115128,-0.000165893,0.000612906
48,1264.704158,1186.756575,3.787208876,10.95373229,7.318261689,0.000906894,7.318261689,6.100217766,0.000227662,0.000906894,0.000227662,0.00129528
49,1267.363603,1196.071713,4.055293075,20.45208375,21.3925801,0.000818685,21.3925801,23.97494139,0.000858812,0.000818685,0.000858812,0.003379513
50,1267.750059,1219.374942,4.332131214,1.952868061,3.252344289,0.00026021,3.252344289,7.860855898,0.000216286,0.00026021,0.000216286,0.000643087
51,1263.975849,1236.064544,4.593552635,0.690281616,1.550062469,9.93E-05,1.550062469,10.80284492,-0.000265472,9.93E-05,-0.000265472,0.000779235
52,1259.761532,1243.060485,4.861623555,0.922327822,-4.909559843,-0.000841507,-4.909559843,77.21329488,-0.000324279,-0.000841507,-0.000324279,0.006642914
53,1243.445891,1242.92564,5.068249775,1.097473608,-1.827150818,-7.00E-05,-1.827150818,6.603797719,-9.09E-05,-7.00E-05,-9.09E-05,0.000473011
54,1231.36569,1242.160829,5.274837178,5.058060007,-8.405806618,-0.000619812,-8.405806618,16.02863681,0.000371624,-0.000619812,0.000371624,0.001077345
55,1230.846458,1239.23523,5.542888665,72.8466846,-81.06499427,0.0011358,-81.06499427,92.78463239,0.000128862,0.0011358,0.000128862,0.014472105
56,1222.979634,1247.940368,5.665336377,66.0364285,-58.91566949,-0.001464754,-58.91566949,55.55653437,-0.000842777,-0.001464754,-0.000842777,0.008197477
57,1205.098332,1249.185202,5.858421469,12.57762806,-5.865642753,0.000293993,-5.865642753,4.296022232,-0.000275198,0.000293993,-0.000275198,0.001062522
58,1188.324688,1215.532235,5.989789979,3.04378067,-0.869183184,3.46E-05,-0.869183184,0.62017322,1.13E-05,3.46E-05,1.13E-05,0.000214563
59,1192.781819,1208.594872,6.057951004,9.59842142,-2.191771361,4.67E-05,-2.191771361,0.614715572,1.74E-05,4.67E-05,1.74E-05,0.000887473
60,1190.210422,1206.902793,6.101721675,16.35174051,-3.019495403,7.33E-06,-3.019495403,0.627699011,-7.35E-05,7.33E-06,-7.35E-05,0.001482865
61,1190.745897,1205.743134,0.04844168,13.75765764,0.488923638,2.22E-05,0.488923638,0.074670431,7.87E-06,2.22E-05,7.87E-06,0.001213231
62,1184.366065,1204.495375,0.291522235,12.70187219,3.002792426,0.000812849,3.002792426,0.848112108,0.000100022,0.000812849,0.000100022,0.000791407
63,1186.537379,1202.908959,0.542746597,16.10589727,8.860465485,1.76E-05,8.860465485,5.143024038,0.00027051,1.76E-05,0.00027051,0.001655124
64,1186.204794,1198.920267,0.803786063,20.41352934,17.53088898,-0.001837788,17.53088898,15.92176668,-0.0011419,-0.001837788,-0.0011419,0.001791034
65,1189.50151,1195.105314,1.013755878,11.77932884,15.56482856,-0.000521503,15.56482856,22.37796287,0.000438097,-0.000521503,0.000438097,0.002710445
66,1183.288274,1181.034085,1.318648884,5.528271557,9.957435305,-0.000411092,9.957435305,25.32032228,-0.000752223,-0.000411092,-0.000752223,0.000997291
67,1186.780022,1182.241305,1.585388948,4.092838911,10.24283701,-0.002143298,10.24283701,79.90379505,-0.002686034,-0.002143298,-0.002686034,0.005463394
68,1201.446059,1169.675128,1.800557168,1.722422479,-0.000223432,0.000858242,-0.000223432,6.790170648,0.000197316,0.000858242,0.000197316,0.000175958
69,1213.067459,1162.488764,2.098700274,13.35814357,-23.46574277,0.000591776,-23.46574277,54.93718464,1.49E-05,0.000591776,1.49E-05,0.005022915
70,1234.995044,1154.453581,2.387905711,9.885062225,-9.023844548,0.000697734,-9.023844548,13.18285707,-0.001901073,0.000697734,-0.001901073,0.001109262
71,1260.979019,1157.009192,2.644810599,12.5817336,-7.141955955,0.000519984,-7.141955955,6.201313248,-0.000822155,0.000519984,-0.000822155,0.001176299
72,1270.492891,1164.293559,2.896495719,14.4541367,-4.195881164,0.001550933,-4.195881164,2.551875558,-0.000964305,0.001550933,-0.000964305,0.001027
73,1265.992423,1172.699849,3.207719354,33.0552022,0.619299213,-0.000790308,0.619299213,0.986878833,-0.000337328,-0.000790308,-0.000337328,0.002942283
74,1278.824524,1176.625391,3.416736987,64.53678328,12.22508582,-0.00077191,12.22508582,3.425191301,-8.01E-05,-0.00077191,-8.01E-05,0.005632719
75,1277.617385,1187.042795,3.664156032,10.39108261,4.504583278,0.001317058,4.504583278,2.90681122,0.000144123,0.001317058,0.000144123,0.000783134
76,1270.48234,1190.652342,3.963050425,57.24497354,46.88435499,-0.000118777,46.88435499,39.97435022,0.000286209,-0.000118777,0.000286209,0.008416545
77,1291.920743,1220.909054,4.141616799,14.22290744,16.7062788,0.002932192,16.7062788,22.70401135,0.001864728,0.002932192,0.001864728,0.002644723
78,1263.757929,1222.940311,4.397336419,3.677362925,8.147902515,0.000241278,8.147902515,21.53576775,0.000338696,0.000241278,0.000338696,0.002070007
79,1254.523788,1226.467002,4.709029429,0.69049976,1.513654982,0.000684004,1.513654982,32.37993929,0.000941015,0.000684004,0.000941015,0.002472361
80,1253.426064,1254.392772,5.010230539,2.929803231,-13.07470397,-0.000244444,-13.07470397,90.47964993,0.000812617,-0.000244444,0.000812617,0.007921955
81,1251.496345,1248.975825,5.173322121,9.835354644,-25.53534675,-0.001824233,-25.53534675,81.8171632,5.48E-05,-0.001824233,5.48E-05,0.006640455
82,1243.773687,1251.625426,5.492456723,26.06318519,-31.78895858,-0.001052683,-31.78895858,47.06061742,0.005131259,-0.001052683,0.005131259,0.005400849
83,1208.528916,1272.042426,5.657628839,9.804347824,-7.694436948,-0.00209987,-7.694436948,11.07555537,0.002459373,-0.00209987,0.002459373,9.80E-05
84,1205.012688,1207.305407,5.799540965,14.03364586,-7.505925905,8.96E-05,-7.505925905,5.070239056,0.000292754,8.96E-05,0.000292754,0.001562611
85,1192.083537,1213.645275,5.933443205,22.91721357,-8.730715954,0.000853921,-8.730715954,3.998759394,1.04E-06,0.000853921,1.04E-06,0.002082215
86,1197.303487,1207.151832,6.027447267,17.58626081,-4.699252415,2.41E-05,-4.699252415,1.408024787,-5.29E-05,2.41E-05,-5.29E-05,0.001618108
87,1192.785787,1207.919725,6.078707311,6.489965875,-1.346469399,6.61E-07,-1.346469399,0.392054734,-5.28E-06,6.61E-07,-5.28E-06,0.000539803
88,1191.358105,1206.346733,6.209823093,78.85943712,-11.84755921,-0.000114774,-11.84755921,1.922622892,-0.002281858,-0.000114774,-0.002281858,0.007232793
89,1185.930717,1205.662709,0.152880756,19.69681921,2.492765372,-2.27E-05,2.492765372,0.535636088,0.00013644,-2.27E-05,0.00013644,0.001408093
90,1182.997705,1204.043712,0.443561772,44.37759325,15.82282938,0.005650441,15.82282938,6.482300138,0.000454411,0.005650441,0.000454411,0.003487917
91,1183.805156,1201.418349,0.614415429,15.02621922,9.305285124,0.000978321,9.305285124,6.605579052,0.000508269,0.000978321,0.000508269,0.001592315
92,1184.946776,1205.187613,0.84287531,25.35360643,21.85024054,-0.0171802,21.85024054,21.29331495,0.01684439,-0.0171802,0.01684439,0.002526189
92,1184.946776,1205.187613,0.84287531,25.35360643,21.85024054,-0.0171802,21.85024054,21.29331495,0.01684439,-0.0171802,0.01684439,0.002526189
92,1184.946776,1205.187613,0.84287531,25.35360643,21.85024054,-0.0171802,21.85024054,21.29331495,0.01684439,-0.0171802,0.01684439,0.002526189
92,1184.946776,1205.187613,0.84287531,25.35360643,21.85024054,-0.0171802,21.85024054,21.29331495,0.01684439,-0.0171802,0.01684439,0.002526189
92,1184.946776,1205.187613,0.84287531,25.35360643,21.85024054,-0.0171802,21.85024054,21.29331495,0.01684439,-0.0171802,0.01684439,0.002526189
92,1184.946776,1205.187613,0.84287531,25.35360643,21.85024054,-0.0171802,21.85024054,21.29331495,0.01684439,-0.0171802,0.01684439,0.002526189
92,1184.946776,1205.187613,0.84287531,25.35360643,21.85024054,-0.0171802,21.85024054,21.29331495,0.01684439,-0.0171802,0.01684439,0.002526189
92,1184.946776,1205.187613,0.84287531,25.35360643,21.85024054,-0.0171802,21.85024054,21.29331495,0.01684439,-0.0171802,0.01684439,0.002526189
92,1184.946776,1205.187613,0.84287531,25.35360643,21.85024054,-0.0171802,21.85024054,21.29331495,0.01684439,-0.0171802,0.01684439,0.002526189
92,1184.946776,1205.187613,0.84287531,25.35360643,21.85024054,-0.0171802,21.85024054,21.29331495,0.01684439,-0.0171802,0.01684439,0.002526189
92,1184.946776,1205.187613,0.84287531,25.35360643,21.85024054,-0.0171802,21.85024054,21.29331495,0.01684439,-0.0171802,0.01684439,0.002526189
92,1184.946776,1205.187613,0.84287531,25.35360643,21.85024054,-0.0171802,21.85024054,21.29331495,0.01684439,-0.0171802,0.01684439,0.002526189
